Pos,RB,AST,STL,BLK,TOV,PPG,FG%,3P%,2P%,FT%
SG,5.25,1.81,0.9,0.54,1.63,15.74,0.44,0.37,0.47,0.8
SG,3.25,2.13,1.46,0.22,1.46,13.79,0.47,0.36,0.53,0.78
SG,4.59,5.69,2.02,0.37,3.12,17.63,0.45,0.39,0.5,0.84
SG,3.39,2.61,1.3,0.26,1.96,12.78,0.4,0.35,0.42,0.7
SG,4.84,5.43,1.3,0.71,3.19,22.43,0.46,0.17,0.47,0.8
SG,5.8,3.38,1.45,0.24,1.69,11.84,0.38,0.39,0.41,0.83
SG,4.6,2.68,1.34,0.19,1.72,19.15,0.4,0.35,0.45,0.92
SG,4.34,2.04,1.02,0.77,2.04,8.94,0.37,0.29,0.5,0.67
SG,3.27,1.51,1.01,0.5,1.01,7.8,0.32,0.29,0.29,1
SG,4.28,2.5,0.71,0,1.78,14.26,0.41,0.38,0.43,0.73
SG,4.38,3.24,1.33,1.14,1.9,12.38,0.42,0.45,0.4,0.8
SG,5.76,7.09,1.61,0.57,4.35,27.4,0.44,0.36,0.5,0.86
SG,3.16,3.16,1.14,0.38,2.02,19.33,0.41,0.33,0.46,0.84
SG,6.3,5.66,1.29,0.39,2.7,13.5,0.45,0.2,0.48,0.82
SG,3.38,4,0.92,0,3.08,7.69,0.4,0.44,0.37,0.5
SG,6.55,1.57,2.42,0.43,1.71,11.95,0.47,0.29,0.46,0.64
SG,5.17,4.68,1.56,0.59,1.95,20.39,0.45,0.32,0.49,0.83
SG,3.89,1.86,1.01,0.17,1.01,13.01,0.39,0.37,0.41,0.87
SG,4.5,3.3,1.05,0.6,1.95,13.05,0.49,0.4,0.52,0.78
SG,3.53,2.02,0.67,0,1.85,17.83,0.37,0.38,0.39,0.89
SG,2.44,1.8,0.77,0.13,1.29,20.96,0.48,0.48,0.49,0.89
SG,3.29,2.02,1.06,0.21,1.06,13.27,0.39,0.36,0.43,0.84
SG,3.52,3.92,1.62,0.27,2.44,10.56,0.37,0.32,0.41,0.8
SG,3.74,1.66,1.11,0.28,1.11,14.26,0.45,0.4,0.51,0.86
SG,3.31,4.45,1.24,0.31,2.59,21.52,0.45,0.42,0.47,0.82
SG,5.59,2.43,1.46,0.49,1.7,13.62,0.43,0.39,0.41,0.82
SG,3.74,2.04,1.36,0.17,2.55,13.25,0.43,0.37,0.48,0.73
SG,3.25,3.38,0.78,0.39,2.73,17.94,0.42,0.34,0.46,0.82
SG,3.79,4.19,1.7,0.2,2.29,18.15,0.44,0.39,0.46,0.9
SG,3.55,2.37,1.18,0.85,1.18,11.15,0.46,0.45,0.43,0.67
SG,4.46,2.67,1.23,0.11,1.89,17.28,0.43,0.34,0.47,0.81
SG,4.09,4.09,1.23,0.82,2.86,14.73,0.42,0.38,0.5,0.8
SG,3.87,2.86,1.01,0.5,1.51,12.62,0.48,0.44,0.5,0.67
SG,2.38,1.06,0.79,0.26,0.79,14.82,0.41,0.4,0.42,0.67
SG,4.46,3.5,0.96,0.32,2.23,7.65,0.35,0.21,0.56,0.83
SG,5.14,1.93,1.29,0.64,1.29,14.14,0.39,0.36,0.41,0.86
SG,4.56,3.42,1.37,0.46,2.05,13.44,0.38,0.3,0.44,0.73
SG,3.82,1.27,0.96,0.48,1.12,14.18,0.39,0.32,0.45,0.77
SG,3.74,2.14,0.89,0,1.25,17.47,0.47,0.4,0.5,0.86
SG,5.24,4.25,1.75,0.87,2.29,17.45,0.44,0.36,0.47,0.82
SG,3.63,1.77,1.37,0.2,1.37,14.22,0.42,0.31,0.49,0.8
SG,3.13,2.26,1.62,0.32,1.51,16.38,0.45,0.35,0.51,0.81
SG,3.12,2.47,1.15,0.16,1.48,14.63,0.44,0.32,0.49,0.71
SG,5.84,1.14,1.3,0.97,0.81,7.78,0.49,0.33,0.62,0.62
SG,2.41,3.08,0.94,0.27,1.87,19,0.4,0.34,0.44,0.91
SG,7.28,3.14,1.13,0.63,2.13,18.06,0.43,0.35,0.47,0.79
SG,6.12,7.76,1.53,0.35,3.41,17.88,0.43,0.38,0.45,0.81
SG,3.51,5.01,2.02,0.53,2.66,14.7,0.43,0.31,0.47,0.8
SG,3.28,1.99,1.29,0.35,0.94,14.54,0.42,0.39,0.43,0.67
SG,4.9,2.8,0.84,0.14,2.24,18.63,0.41,0.4,0.41,0.76
SG,3.66,4.36,1.12,0.42,1.83,11.95,0.44,0.29,0.47,0.77
SG,4.14,2.68,0.97,0.24,2.43,14.59,0.5,0.33,0.54,0.76
SG,5.61,2.51,1.48,0.59,1.62,8.56,0.38,0.3,0.45,0.78
SG,3.41,1.71,0.62,0.16,1.86,21.41,0.46,0.36,0.53,0.88
SG,3.36,3.86,1.12,0.25,1.74,12.96,0.43,0.43,0.4,0.76
SG,3.9,5.1,1.2,0.4,3.4,19.6,0.41,0.34,0.46,0.86
SG,3.96,2.52,0.96,0.48,1.44,11.04,0.44,0.4,0.52,0.86
SG,3.94,3.36,1.16,0.23,2.32,20.14,0.45,0.39,0.48,0.78
SG,7.35,2.32,1.16,0.97,1.55,17.03,0.45,0.3,0.52,0.77
SG,3.6,3.99,1.03,0.26,2.44,18,0.45,0.38,0.49,0.8
SG,2.84,1.85,1.23,0.37,1.23,12.33,0.46,0.37,0.51,0.83
SG,3.7,2.5,1.43,0.48,0.95,10.61,0.44,0.39,0.48,0.89
SG,4.51,4.01,1,0.3,2.21,23.57,0.45,0.33,0.46,0.85
SG,6.12,1.96,0.73,0.73,1.22,10.29,0.42,0.41,0.43,0.75
SG,4.38,4.11,0.96,0.68,2.6,16.02,0.41,0.34,0.45,0.84
SG,4.22,1.62,0.97,0.32,1.95,18.16,0.49,0.5,0.47,0.5
SG,2.83,2.02,1.21,0.4,2.02,10.52,0.35,0.37,0.4,0.67
SG,2.49,2.78,0.73,0,1.76,14.93,0.39,0.3,0.46,0.85
SG,3.63,2.76,0.87,0.44,1.89,12.34,0.39,0.33,0.47,0.75
SG,3.25,2.54,0.99,0.28,1.69,15.53,0.36,0.37,0.35,0.83
