Name,Pos,RB,AST,STL,BLK,TOV,PPG,FG%,3P%,2P%,FT%
Tony Parker,PG,3.14,6.94,1.05,0.26,2.36,15.58,0.49,0.44,0.5,0.75
D'Angelo Russell,PG,4.34,4.21,1.53,0.26,3.19,16.85,0.41,0.35,0.45,0.75
Shabazz Napier,PG,3.3,5.94,1.32,0.0,2.64,12.22,0.32,0.32,0.33,0.75
Ty Lawson,PG,2.76,5.51,1.3,0.16,2.43,9.41,0.39,0.33,0.42,0.73
Jameer Nelson,PG,3.92,6.63,0.81,0.14,2.3,10.42,0.37,0.3,0.43,0.89
Shane Larkin,PG,3.7,7.07,1.93,0.32,3.05,11.73,0.44,0.36,0.45,0.79
Toney Douglas,PG,4.0,4.52,1.91,0.17,1.74,15.13,0.41,0.39,0.43,0.87
Dennis Schroder,PG,4.61,7.8,1.6,0.18,4.08,19.51,0.42,0.33,0.47,0.78
Goran Dragic,PG,4.17,6.37,1.1,0.22,2.85,15.48,0.48,0.32,0.53,0.74
Raul Neto,PG,2.92,4.09,1.56,0.0,2.53,11.48,0.42,0.4,0.44,0.67
Ramon Sessions,PG,4.43,5.14,1.06,0.18,2.48,17.56,0.47,0.29,0.51,0.74
Jose Calderon,PG,4.1,5.38,1.15,0.13,1.54,9.74,0.46,0.43,0.49,0.86
Shaun Livingston,PG,4.06,5.54,1.29,0.55,1.85,11.63,0.53,0.0,0.55,0.83
Stephen Curry,PG,5.68,7.05,2.21,0.21,3.47,31.68,0.5,0.46,0.57,0.9
Seth Curry,PG,3.21,3.44,1.15,0.23,1.83,15.59,0.45,0.44,0.46,0.83
Kyle Lowry,PG,4.57,6.23,2.04,0.39,2.82,20.63,0.42,0.39,0.46,0.81
Elfrid Payton,PG,4.41,7.84,1.47,0.37,2.94,13.1,0.44,0.31,0.45,0.58
Darren Collison,PG,2.76,5.16,1.2,0.12,2.16,16.8,0.49,0.41,0.51,0.84
Cameron Payne,PG,4.43,5.61,1.77,0.3,2.36,14.75,0.41,0.32,0.48,0.75
Mike Conley,PG,3.32,6.99,1.38,0.34,1.72,17.54,0.43,0.37,0.45,0.83
Eric Bledsoe,PG,4.21,6.42,2.11,0.63,3.68,21.47,0.45,0.36,0.48,0.82
Mario Chalmers,PG,4.11,6.0,2.37,0.32,2.84,17.05,0.41,0.32,0.46,0.82
Ronnie Price,PG,2.95,4.43,2.22,0.37,2.03,9.78,0.39,0.34,0.47,0.71
T.J. McConnell,PG,5.64,8.18,2.18,0.18,3.09,11.09,0.47,0.36,0.5,0.6
Pablo Prigioni,PG,4.92,5.7,2.33,0.0,2.07,6.47,0.36,0.31,0.56,1.0
Patrick Mills,PG,3.51,4.92,1.23,0.18,1.58,14.93,0.42,0.37,0.47,0.86
Steve Blake,PG,3.18,7.2,0.85,0.21,2.96,9.32,0.39,0.35,0.47,1.0
Donald Sloan,PG,4.67,7.33,0.83,0.17,2.17,11.67,0.44,0.38,0.46,0.76
Patrick Beverley,PG,4.39,4.26,1.63,0.5,1.63,12.42,0.43,0.39,0.48,0.67
Brian Roberts,PG,3.24,4.22,0.65,0.0,1.62,15.57,0.45,0.33,0.48,0.92
Kendall Marshall,PG,2.44,6.5,1.35,0.27,3.79,10.02,0.36,0.31,0.39,0.75
Rajon Rondo,PG,6.14,11.97,2.05,0.1,3.99,12.17,0.45,0.38,0.48,0.57
